ticket_id,status,agent_id,start_ts,completion_ts,arrival_ts,queue,priority,language,duration_slots,first_response_due_ts,resolution_due_ts,first_response_tardiness_min,resolution_tardiness_min
TKT-00030,scheduled,PS-02,2026-03-06 08:00:00,2026-03-06 08:30:00,2026-03-02 09:50:14,Product Support,P4,EN,2,2026-03-03 09:51:00,2026-03-09 09:51:00,4209.00,0.00
TKT-00031,scheduled,GEN-03,2026-03-02 10:30:00,2026-03-02 11:00:00,2026-03-02 09:51:30,Account Access,P3,EN,2,2026-03-02 13:51:30,2026-03-04 09:52:00,0.00,0.00
TKT-00032,scheduled,PS-01,2026-03-02 10:30:00,2026-03-02 11:15:00,2026-03-02 09:58:34,Product Support,P3,EN,3,2026-03-02 13:58:34,2026-03-04 09:59:00,0.00,0.00
TKT-00033,scheduled,GEN-02,2026-03-02 10:15:00,2026-03-02 11:00:00,2026-03-02 10:00:11,Product Support,P2,EN,3,2026-03-02 11:00:11,2026-03-03 10:01:00,0.00,0.00
TKT-00034,scheduled,GEN-01,2026-03-02 10:30:00,2026-03-02 11:15:00,2026-03-02 10:03:05,Billing,P3,EN,3,2026-03-02 14:03:05,2026-03-04 10:04:00,0.00,0.00
TKT-00035,scheduled,SIC-01,2026-03-02 10:15:00,2026-03-02 11:00:00,2026-03-02 10:04:35,Integrations/API,P2,EN,3,2026-03-02 11:04:35,2026-03-03 10:05:00,0.00,0.00
TKT-00036,scheduled,GEN-01,2026-03-02 10:15:00,2026-03-02 10:30:00,2026-03-02 10:06:49,Account Access,P2,EN,1,2026-03-02 11:06:49,2026-03-03 10:07:00,0.00,0.00
TKT-00037,scheduled,PS-01,2026-03-02 11:15:00,2026-03-02 11:45:00,2026-03-02 10:08:31,Product Support,P3,EN,2,2026-03-02 14:08:31,2026-03-04 10:09:00,0.00,0.00
TKT-00038,scheduled,GEN-01,2026-03-02 11:15:00,2026-03-02 11:30:00,2026-03-02 10:10:56,Account Access,P3,DE,1,2026-03-02 14:10:56,2026-03-04 10:11:00,0.00,0.00
TKT-00039,scheduled,INT-02,2026-03-02 13:15:00,2026-03-02 13:30:00,2026-03-02 10:12:12,Integrations/API,P3,EN,1,2026-03-02 14:12:12,2026-03-04 10:13:00,0.00,0.00
TKT-00040,scheduled,GEN-01,2026-03-02 11:30:00,2026-03-02 12:00:00,2026-03-02 10:13:01,Product Support,P3,EN,2,2026-03-02 14:13:01,2026-03-04 10:14:00,0.00,0.00
TKT-00041,scheduled,PS-01,2026-03-02 11:45:00,2026-03-02 12:30:00,2026-03-02 10:15:34,Product Support,P3,EN,3,2026-03-02 14:15:34,2026-03-04 10:16:00,0.00,0.00
TKT-00042,scheduled,GEN-03,2026-03-02 12:15:00,2026-03-02 13:00:00,2026-03-02 10:17:49,Product Support,P3,DE,3,2026-03-02 14:17:49,2026-03-04 10:18:00,0.00,0.00
TKT-00043,scheduled,INT-02,2026-03-02 13:30:00,2026-03-02 15:00:00,2026-03-02 10:29:52,Integrations/API,P3,EN,6,2026-03-02 14:29:52,2026-03-04 10:30:00,0.00,0.00
TKT-00044,scheduled,PS-02,2026-03-06 08:30:00,2026-03-06 09:15:00,2026-03-02 10:31:43,Product Support,P4,EN,3,2026-03-03 10:32:00,2026-03-09 10:32:00,4198.00,0.00
TKT-00045,scheduled,GEN-01,2026-03-02 12:15:00,2026-03-02 13:00:00,2026-03-02 10:32:42,Product Support,P3,DE,3,2026-03-02 14:32:42,2026-03-04 10:33:00,0.00,0.00
TKT-00046,scheduled,GEN-02,2026-03-02 11:00:00,2026-03-02 11:15:00,2026-03-02 10:36:28,Billing,P2,EN,1,2026-03-02 11:36:28,2026-03-03 10:37:00,0.00,0.00
TKT-00047,scheduled,GEN-02,2026-03-02 12:30:00,2026-03-02 13:15:00,2026-03-02 10:40:49,Product Support,P3,EN,3,2026-03-02 14:40:49,2026-03-04 10:41:00,0.00,0.00
TKT-00048,scheduled,INT-02,2026-03-02 15:00:00,2026-03-02 15:45:00,2026-03-02 10:41:38,Integrations/API,P3,EN,3,2026-03-02 14:41:38,2026-03-04 10:42:00,18.37,0.00
TKT-00049,scheduled,INT-02,2026-03-03 13:45:00,2026-03-03 15:45:00,2026-03-02 10:46:55,Integrations/API,P4,EN,8,2026-03-03 10:47:00,2026-03-09 10:47:00,178.00,0.00
TKT-00050,scheduled,GEN-03,2026-03-02 11:00:00,2026-03-02 12:15:00,2026-03-02 10:48:02,Product Support,P2,EN,5,2026-03-02 11:48:02,2026-03-03 10:49:00,0.00,0.00
TKT-00051,scheduled,GEN-02,2026-03-06 15:00:00,2026-03-06 15:45:00,2026-03-02 10:49:30,Billing,P4,EN,3,2026-03-03 10:50:00,2026-03-09 10:50:00,4570.00,0.00
TKT-00052,scheduled,GEN-01,2026-03-06 15:15:00,2026-03-06 15:45:00,2026-03-02 10:50:03,Account Access,P4,EN,2,2026-03-03 10:51:00,2026-03-09 10:51:00,4584.00,0.00
TKT-00053,scheduled,GEN-01,2026-03-02 13:30:00,2026-03-02 14:00:00,2026-03-02 10:50:30,Account Access,P3,EN,2,2026-03-02 14:50:30,2026-03-04 10:51:00,0.00,0.00
TKT-00054,scheduled,GEN-03,2026-03-02 13:45:00,2026-03-02 14:15:00,2026-03-02 10:53:48,Account Access,P3,EN,2,2026-03-02 14:53:48,2026-03-04 10:54:00,0.00,0.00
TKT-00055,scheduled,GEN-03,2026-03-06 15:30:00,2026-03-06 16:00:00,2026-03-02 10:55:29,Account Access,P4,DE,2,2026-03-03 10:56:00,2026-03-09 10:56:00,4594.00,0.00
TKT-00056,scheduled,GEN-01,2026-03-02 14:00:00,2026-03-02 14:30:00,2026-03-02 10:58:09,Account Access,P3,EN,2,2026-03-02 14:58:09,2026-03-04 10:59:00,0.00,0.00
TKT-00057,scheduled,GEN-03,2026-03-02 14:15:00,2026-03-02 14:45:00,2026-03-02 11:04:20,Billing,P3,EN,2,2026-03-02 15:04:20,2026-03-04 11:05:00,0.00,0.00
TKT-00058,scheduled,GEN-02,2026-03-02 14:30:00,2026-03-02 15:00:00,2026-03-02 11:06:12,Billing,P3,EN,2,2026-03-02 15:06:12,2026-03-04 11:07:00,0.00,0.00
TKT-00059,scheduled,PS-01,2026-03-06 08:45:00,2026-03-06 10:00:00,2026-03-02 11:08:13,Product Support,P4,EN,5,2026-03-03 11:09:00,2026-03-09 11:09:00,4176.00,0.00
TKT-00060,scheduled,PS-02,2026-03-06 09:15:00,2026-03-06 10:00:00,2026-03-02 11:08:43,Product Support,P4,EN,3,2026-03-03 11:09:00,2026-03-09 11:09:00,4206.00,0.00
TKT-00061,scheduled,GEN-03,2026-03-05 15:45:00,2026-03-05 16:00:00,2026-03-02 11:08:57,Account Access,P4,EN,1,2026-03-03 11:09:00,2026-03-09 11:09:00,3156.00,0.00
TKT-00062,scheduled,PS-01,2026-03-02 14:30:00,2026-03-02 16:00:00,2026-03-02 11:11:12,Product Support,P3,EN,6,2026-03-02 15:11:12,2026-03-04 11:12:00,0.00,0.00
TKT-00063,scheduled,GEN-02,2026-03-02 11:15:00,2026-03-02 11:45:00,2026-03-02 11:11:52,Account Access,P2,EN,2,2026-03-02 12:11:52,2026-03-03 11:12:00,0.00,0.00
TKT-00064,scheduled,PS-01,2026-03-06 15:00:00,2026-03-06 15:45:00,2026-03-02 11:13:23,Product Support,P4,EN,3,2026-03-03 11:14:00,2026-03-09 11:14:00,4546.00,0.00
TKT-00065,scheduled,GEN-01,2026-03-02 14:30:00,2026-03-02 15:15:00,2026-03-02 11:14:48,Product Support,P3,EN,3,2026-03-02 15:14:48,2026-03-04 11:15:00,0.00,0.00
TKT-00066,scheduled,GEN-03,2026-03-02 14:45:00,2026-03-02 15:00:00,2026-03-02 11:16:49,Account Access,P3,EN,1,2026-03-02 15:16:49,2026-03-04 11:17:00,0.00,0.00
TKT-00067,scheduled,INT-01,2026-03-03 08:00:00,2026-03-03 09:45:00,2026-03-02 11:17:29,Integrations/API,P3,EN,7,2026-03-02 15:17:29,2026-03-04 11:18:00,1002.52,0.00
TKT-00068,scheduled,GEN-02,2026-03-02 15:00:00,2026-03-02 15:15:00,2026-03-02 11:21:09,Account Access,P3,EN,1,2026-03-02 15:21:09,2026-03-04 11:22:00,0.00,0.00
TKT-00069,scheduled,GEN-03,2026-03-02 15:00:00,2026-03-02 15:15:00,2026-03-02 11:23:13,Account Access,P3,EN,1,2026-03-02 15:23:13,2026-03-04 11:24:00,0.00,0.00
TKT-00070,backlog_end,,,,2026-03-02 11:24:56,Product Support,P4,EN,6,2026-03-03 11:25:00,2026-03-09 11:25:00,,
TKT-00071,scheduled,PS-02,2026-03-02 11:30:00,2026-03-02 13:00:00,2026-03-02 11:25:37,Product Support,P2,EN,6,2026-03-02 12:25:37,2026-03-03 11:26:00,0.00,0.00
TKT-00072,backlog_end,,,,2026-03-02 11:26:15,Account Access,P4,EN,2,2026-03-03 11:27:00,2026-03-09 11:27:00,,
TKT-00073,scheduled,INT-02,2026-03-03 08:00:00,2026-03-03 10:00:00,2026-03-02 11:27:03,Integrations/API,P3,EN,8,2026-03-02 15:27:03,2026-03-04 11:28:00,992.95,0.00
TKT-00074,scheduled,PS-02,2026-03-02 14:45:00,2026-03-02 15:30:00,2026-03-02 11:31:06,Product Support,P3,EN,3,2026-03-02 15:31:06,2026-03-04 11:32:00,0.00,0.00
TKT-00075,scheduled,GEN-01,2026-03-03 08:00:00,2026-03-03 09:30:00,2026-03-02 11:34:02,Product Support,P3,EN,6,2026-03-02 15:34:02,2026-03-04 11:35:00,985.97,0.00
TKT-00076,scheduled,GEN-02,2026-03-02 11:45:00,2026-03-02 12:30:00,2026-03-02 11:37:14,Product Support,P2,DE,3,2026-03-02 12:37:14,2026-03-03 11:38:00,0.00,0.00
TKT-00077,backlog_end,,,,2026-03-02 11:37:48,Product Support,P4,DE,2,2026-03-03 11:38:00,2026-03-09 11:38:00,,
TKT-00078,scheduled,PS-02,2026-03-06 15:00:00,2026-03-06 16:00:00,2026-03-02 11:38:45,Product Support,P4,EN,4,2026-03-03 11:39:00,2026-03-09 11:39:00,4521.00,0.00
TKT-00079,backlog_end,,,,2026-03-02 11:40:27,Account Access,P4,EN,4,2026-03-03 11:41:00,2026-03-09 11:41:00,,
TKT-00080,scheduled,GEN-01,2026-03-06 15:45:00,2026-03-06 16:00:00,2026-03-02 11:40:30,Account Access,P4,EN,1,2026-03-03 11:41:00,2026-03-09 11:41:00,4564.00,0.00
TKT-00081,scheduled,GEN-02,2026-03-06 15:45:00,2026-03-06 16:00:00,2026-03-02 11:43:35,Account Access,P4,EN,1,2026-03-03 11:44:00,2026-03-09 11:44:00,4561.00,0.00
TKT-00082,scheduled,GEN-02,2026-03-02 15:15:00,2026-03-02 15:45:00,2026-03-02 11:43:38,Account Access,P3,EN,2,2026-03-02 15:43:38,2026-03-04 11:44:00,0.00,0.00
TKT-00083,backlog_end,,,,2026-03-02 11:45:52,Billing,P4,EN,2,2026-03-03 11:46:00,2026-03-09 11:46:00,,
TKT-00084,scheduled,INT-02,2026-03-04 08:00:00,2026-03-04 08:45:00,2026-03-02 11:49:35,Integrations/API,P4,EN,3,2026-03-03 11:50:00,2026-03-09 11:50:00,1210.00,0.00
TKT-00085,backlog_end,,,,2026-03-02 11:52:15,Billing,P4,EN,2,2026-03-03 11:53:00,2026-03-09 11:53:00,,
TKT-00086,scheduled,GEN-03,2026-03-02 15:15:00,2026-03-02 15:45:00,2026-03-02 11:52:44,Account Access,P3,EN,2,2026-03-02 15:52:44,2026-03-04 11:53:00,0.00,0.00
TKT-00087,scheduled,GEN-01,2026-03-02 12:00:00,2026-03-02 12:15:00,2026-03-02 11:55:22,Account Access,P2,DE,1,2026-03-02 12:55:22,2026-03-03 11:56:00,0.00,0.00
TKT-00088,scheduled,GEN-01,2026-03-02 15:15:00,2026-03-02 16:00:00,2026-03-02 11:57:40,Billing,P3,DE,3,2026-03-02 15:57:40,2026-03-04 11:58:00,0.00,0.00
TKT-00089,backlog_end,,,,2026-03-02 12:01:02,Billing,P4,DE,1,2026-03-03 12:02:00,2026-03-09 12:02:00,,
TKT-00090,scheduled,PS-02,2026-03-02 15:30:00,2026-03-02 16:00:00,2026-03-02 12:07:26,Product Support,P3,EN,2,2026-03-03 08:08:00,2026-03-04 12:08:00,0.00,0.00
TKT-00091,backlog_end,,,,2026-03-02 12:12:45,Billing,P4,EN,1,2026-03-03 12:13:00,2026-03-09 12:13:00,,
TKT-00092,scheduled,GEN-02,2026-03-03 08:00:00,2026-03-03 09:00:00,2026-03-02 12:16:09,Product Support,P3,EN,4,2026-03-03 08:17:00,2026-03-04 12:17:00,0.00,0.00
TKT-00093,scheduled,PS-01,2026-03-02 12:30:00,2026-03-02 14:30:00,2026-03-02 12:16:48,Product Support,P1,EN,8,2026-03-02 12:31:48,2026-03-03 08:17:00,0.00,0.00
TKT-00094,scheduled,GEN-03,2026-03-03 08:00:00,2026-03-03 08:30:00,2026-03-02 12:18:18,Account Access,P3,EN,2,2026-03-03 08:19:00,2026-03-04 12:19:00,0.00,0.00
TKT-00095,backlog_end,,,,2026-03-02 12:24:03,Billing,P4,DE,1,2026-03-03 12:25:00,2026-03-09 12:25:00,,
TKT-00096,scheduled,PS-02,2026-03-03 08:00:00,2026-03-03 08:45:00,2026-03-02 12:27:09,Product Support,P3,EN,3,2026-03-03 08:28:00,2026-03-04 12:28:00,0.00,0.00
TKT-00097,scheduled,SIC-01,2026-03-02 12:45:00,2026-03-02 13:45:00,2026-03-02 12:37:50,Product Support,P2,DE,4,2026-03-02 13:37:50,2026-03-03 12:38:00,0.00,0.00
TKT-00098,scheduled,PS-02,2026-03-02 13:00:00,2026-03-02 14:45:00,2026-03-02 12:39:44,Product Support,P2,EN,7,2026-03-02 13:39:44,2026-03-03 12:40:00,0.00,0.00
TKT-00099,backlog_end,,,,2026-03-02 12:42:01,Product Support,P4,EN,2,2026-03-03 12:43:00,2026-03-09 12:43:00,,
TKT-00100,scheduled,GEN-03,2026-03-03 08:30:00,2026-03-03 09:45:00,2026-03-02 12:42:26,Billing,P3,DE,5,2026-03-03 08:43:00,2026-03-04 12:43:00,0.00,0.00
TKT-00101,scheduled,GEN-03,2026-03-02 13:00:00,2026-03-02 13:45:00,2026-03-02 12:52:12,Product Support,P2,EN,3,2026-03-02 13:52:12,2026-03-03 12:53:00,0.00,0.00
TKT-00102,scheduled,GEN-01,2026-03-02 13:00:00,2026-03-02 13:30:00,2026-03-02 12:55:14,Account Access,P2,DE,2,2026-03-02 13:55:14,2026-03-03 12:56:00,0.00,0.00
TKT-00103,scheduled,GEN-02,2026-03-03 09:00:00,2026-03-03 09:30:00,2026-03-02 12:57:15,Product Support,P3,EN,2,2026-03-03 08:58:00,2026-03-04 12:58:00,2.00,0.00
TKT-00104,scheduled,GEN-02,2026-03-02 13:15:00,2026-03-02 13:45:00,2026-03-02 13:06:29,Account Access,P2,DE,2,2026-03-02 14:06:29,2026-03-03 13:07:00,0.00,0.00
TKT-00105,scheduled,SIC-01,2026-03-02 13:45:00,2026-03-02 14:15:00,2026-03-02 13:09:32,Product Support,P1,EN,2,2026-03-02 13:24:32,2026-03-03 09:10:00,20.47,0.00
TKT-00106,backlog_end,,,,2026-03-02 13:10:09,Billing,P4,EN,2,2026-03-03 13:11:00,2026-03-09 13:11:00,,
TKT-00107,scheduled,GEN-02,2026-03-03 09:30:00,2026-03-03 10:15:00,2026-03-02 13:20:09,Billing,P3,DE,3,2026-03-03 09:21:00,2026-03-04 13:21:00,9.00,0.00
TKT-00108,scheduled,GEN-03,2026-03-03 09:45:00,2026-03-03 10:15:00,2026-03-02 13:20:22,Billing,P3,EN,2,2026-03-03 09:21:00,2026-03-04 13:21:00,24.00,0.00
TKT-00109,scheduled,GEN-02,2026-03-02 13:45:00,2026-03-02 14:30:00,2026-03-02 13:40:34,Product Support,P2,EN,3,2026-03-02 14:40:34,2026-03-03 13:41:00,0.00,0.00
TKT-00110,scheduled,GEN-02,2026-03-02 15:45:00,2026-03-02 16:00:00,2026-03-02 13:41:41,Product Support,P3,DE,1,2026-03-03 09:42:00,2026-03-04 13:42:00,0.00,0.00
TKT-00111,scheduled,INT-01,2026-03-02 15:15:00,2026-03-02 16:00:00,2026-03-02 13:42:45,Integrations/API,P3,EN,3,2026-03-03 09:43:00,2026-03-04 13:43:00,0.00,0.00
TKT-00112,scheduled,PS-01,2026-03-03 09:00:00,2026-03-03 09:30:00,2026-03-02 13:51:44,Product Support,P3,EN,2,2026-03-03 09:52:00,2026-03-04 13:52:00,0.00,0.00
TKT-00113,scheduled,PS-01,2026-03-03 09:30:00,2026-03-03 10:15:00,2026-03-02 13:59:53,Product Support,P3,DE,3,2026-03-03 10:00:00,2026-03-04 14:00:00,0.00,0.00
TKT-00114,backlog_end,,,,2026-03-02 14:07:50,Product Support,P4,EN,2,2026-03-03 14:08:00,2026-03-09 14:08:00,,
TKT-00115,scheduled,INT-02,2026-03-03 10:00:00,2026-03-03 11:00:00,2026-03-02 14:09:29,Integrations/API,P3,EN,4,2026-03-03 10:10:00,2026-03-04 14:10:00,0.00,0.00
TKT-00116,scheduled,PS-02,2026-03-03 09:30:00,2026-03-03 10:15:00,2026-03-02 14:26:13,Product Support,P3,EN,3,2026-03-03 10:27:00,2026-03-04 14:27:00,0.00,0.00
TKT-00117,scheduled,GEN-03,2026-03-03 10:15:00,2026-03-03 11:00:00,2026-03-02 14:37:45,Billing,P3,EN,3,2026-03-03 10:38:00,2026-03-04 14:38:00,0.00,0.00
TKT-00118,backlog_end,,,,2026-03-02 14:44:29,Product Support,P4,EN,3,2026-03-03 14:45:00,2026-03-09 14:45:00,,
TKT-00119,scheduled,PS-01,2026-03-03 08:00:00,2026-03-03 09:00:00,2026-03-02 15:03:19,Product Support,P1,EN,4,2026-03-02 15:18:19,2026-03-03 11:04:00,1001.68,0.00
TKT-00120,scheduled,PS-01,2026-03-03 10:15:00,2026-03-03 10:45:00,2026-03-02 15:14:51,Product Support,P3,EN,2,2026-03-03 11:15:00,2026-03-04 15:15:00,0.00,0.00
TKT-00121,scheduled,PS-01,2026-03-03 10:45:00,2026-03-03 11:30:00,2026-03-03 08:04:36,Product Support,P3,DE,3,2026-03-03 12:04:36,2026-03-05 08:05:00,0.00,0.00
TKT-00122,scheduled,PS-01,2026-03-03 15:45:00,2026-03-03 16:00:00,2026-03-03 08:10:58,Product Support,P4,EN,1,2026-03-04 08:11:00,2026-03-10 08:11:00,0.00,0.00
TKT-00123,scheduled,GEN-01,2026-03-03 11:00:00,2026-03-03 11:30:00,2026-03-03 08:19:03,Account Access,P3,EN,2,2026-03-03 12:19:03,2026-03-05 08:20:00,0.00,0.00
TKT-00124,backlog_end,,,,2026-03-03 08:24:13,Billing,P4,EN,2,2026-03-04 08:25:00,2026-03-10 08:25:00,,
TKT-00125,scheduled,GEN-03,2026-03-03 11:00:00,2026-03-03 11:30:00,2026-03-03 08:25:34,Billing,P3,EN,2,2026-03-03 12:25:34,2026-03-05 08:26:00,0.00,0.00
TKT-00126,scheduled,GEN-01,2026-03-03 13:00:00,2026-03-03 13:30:00,2026-03-03 08:33:36,Account Access,P3,EN,2,2026-03-03 12:33:36,2026-03-05 08:34:00,26.40,0.00
TKT-00127,scheduled,SIC-01,2026-03-03 08:45:00,2026-03-03 10:15:00,2026-03-03 08:38:46,Billing,P2,EN,6,2026-03-03 09:38:46,2026-03-04 08:39:00,0.00,0.00
TKT-00128,scheduled,PS-02,2026-03-03 08:45:00,2026-03-03 09:30:00,2026-03-03 08:39:03,Product Support,P2,EN,3,2026-03-03 09:39:03,2026-03-04 08:40:00,0.00,0.00
TKT-00129,backlog_end,,,,2026-03-03 08:53:23,Account Access,P4,EN,2,2026-03-04 08:54:00,2026-03-10 08:54:00,,
TKT-00130,scheduled,GEN-01,2026-03-03 09:30:00,2026-03-03 10:00:00,2026-03-03 09:00:44,Account Access,P2,DE,2,2026-03-03 10:00:44,2026-03-04 09:01:00,0.00,0.00
TKT-00131,scheduled,GEN-02,2026-03-03 13:00:00,2026-03-03 13:15:00,2026-03-03 09:10:08,Account Access,P3,DE,1,2026-03-03 13:10:08,2026-03-05 09:11:00,0.00,0.00
TKT-00132,scheduled,INT-01,2026-03-03 11:45:00,2026-03-03 13:30:00,2026-03-03 09:13:57,Integrations/API,P3,EN,7,2026-03-03 13:13:57,2026-03-05 09:14:00,0.00,0.00
TKT-00133,scheduled,GEN-03,2026-03-03 13:00:00,2026-03-03 13:15:00,2026-03-03 09:16:06,Account Access,P3,EN,1,2026-03-03 13:16:06,2026-03-05 09:17:00,0.00,0.00
TKT-00134,scheduled,INT-02,2026-03-03 12:45:00,2026-03-03 13:45:00,2026-03-03 09:16:40,Integrations/API,P3,EN,4,2026-03-03 13:16:40,2026-03-05 09:17:00,0.00,0.00
TKT-00135,scheduled,INT-01,2026-03-03 09:45:00,2026-03-03 11:45:00,2026-03-03 09:18:15,Integrations/API,P2,DE,8,2026-03-03 10:18:15,2026-03-04 09:19:00,0.00,0.00
TKT-00136,scheduled,PS-02,2026-03-03 10:15:00,2026-03-03 11:00:00,2026-03-03 09:20:31,Product Support,P3,EN,3,2026-03-03 13:20:31,2026-03-05 09:21:00,0.00,0.00
TKT-00137,scheduled,PS-02,2026-03-03 11:00:00,2026-03-03 12:00:00,2026-03-03 09:23:02,Product Support,P3,EN,4,2026-03-03 13:23:02,2026-03-05 09:24:00,0.00,0.00
TKT-00138,backlog_end,,,,2026-03-03 09:24:42,Product Support,P4,EN,6,2026-03-04 09:25:00,2026-03-10 09:25:00,,
TKT-00139,backlog_end,,,,2026-03-03 09:29:28,Billing,P4,EN,3,2026-03-04 09:30:00,2026-03-10 09:30:00,,
