ticket_id,status,agent_id,start_ts,completion_ts,arrival_ts,queue,priority,language,duration_slots,first_response_due_ts,resolution_due_ts,first_response_tardiness_min,resolution_tardiness_min
TKT-00017,scheduled,GEN-02,2026-03-02 10:00:00,2026-03-02 10:30:00,2026-03-02 09:04:07,Account Access,P2,EN,2,2026-03-02 10:04:07,2026-03-03 09:05:00,0.00,0.00
TKT-00018,scheduled,INT-01,2026-03-02 13:15:00,2026-03-02 15:15:00,2026-03-02 09:05:07,Integrations/API,P3,DE,8,2026-03-02 13:05:07,2026-03-04 09:06:00,9.88,0.00
TKT-00019,scheduled,GEN-01,2026-03-02 12:30:00,2026-03-02 12:45:00,2026-03-02 09:06:42,Account Access,P3,EN,1,2026-03-02 13:06:42,2026-03-04 09:07:00,0.00,0.00
TKT-00020,scheduled,GEN-01,2026-03-02 12:45:00,2026-03-02 13:15:00,2026-03-02 09:07:48,Account Access,P3,EN,2,2026-03-02 13:07:48,2026-03-04 09:08:00,0.00,0.00
TKT-00021,scheduled,PS-02,2026-03-02 12:00:00,2026-03-02 12:45:00,2026-03-02 09:11:26,Product Support,P3,EN,3,2026-03-02 13:11:26,2026-03-04 09:12:00,0.00,0.00
TKT-00022,backlog_current_run,,,,2026-03-02 09:13:02,Account Access,P4,EN,5,2026-03-03 09:14:00,2026-03-09 09:14:00,,
TKT-00023,scheduled,GEN-02,2026-03-02 12:15:00,2026-03-02 12:30:00,2026-03-02 09:20:06,Account Access,P4,DE,1,2026-03-03 09:21:00,2026-03-09 09:21:00,0.00,0.00
TKT-00024,scheduled,SIC-01,2026-03-02 10:15:00,2026-03-02 11:30:00,2026-03-02 09:21:21,Integrations/API,P2,DE,5,2026-03-02 10:21:21,2026-03-03 09:22:00,0.00,0.00
TKT-00025,scheduled,GEN-01,2026-03-02 11:30:00,2026-03-02 12:00:00,2026-03-02 09:26:09,Billing,P3,EN,2,2026-03-02 13:26:09,2026-03-04 09:27:00,0.00,0.00
TKT-00026,scheduled,PS-02,2026-03-02 13:00:00,2026-03-02 13:30:00,2026-03-02 09:26:33,Product Support,P3,EN,2,2026-03-02 13:26:33,2026-03-04 09:27:00,0.00,0.00
TKT-00027,scheduled,INT-01,2026-03-02 11:45:00,2026-03-02 12:30:00,2026-03-02 09:28:33,Integrations/API,P3,EN,3,2026-03-02 13:28:33,2026-03-04 09:29:00,0.00,0.00
TKT-00028,scheduled,GEN-01,2026-03-02 13:15:00,2026-03-02 14:15:00,2026-03-02 09:47:37,Product Support,P3,EN,4,2026-03-02 13:47:37,2026-03-04 09:48:00,0.00,0.00
TKT-00029,scheduled,INT-01,2026-03-02 12:30:00,2026-03-02 13:15:00,2026-03-02 09:48:38,Integrations/API,P3,DE,3,2026-03-02 13:48:38,2026-03-04 09:49:00,0.00,0.00
TKT-00030,backlog_current_run,,,,2026-03-02 09:50:14,Product Support,P4,EN,2,2026-03-03 09:51:00,2026-03-09 09:51:00,,
TKT-00031,scheduled,GEN-03,2026-03-02 10:30:00,2026-03-02 11:00:00,2026-03-02 09:51:30,Account Access,P3,EN,2,2026-03-02 13:51:30,2026-03-04 09:52:00,0.00,0.00
TKT-00032,scheduled,PS-02,2026-03-02 13:30:00,2026-03-02 14:15:00,2026-03-02 09:58:34,Product Support,P3,EN,3,2026-03-02 13:58:34,2026-03-04 09:59:00,0.00,0.00
